docid	thread_id	start_post_id	end_post_id
020f7dc5023a3dcdff18cb12b621d2a8	9498	p1	p10
022a0a9534851dfa40848021142141e5	11196	p1	p47
032eb582b0766826d823ff7e6e6d2fc3	11293	p1	p22
049601adc3607b661d32a6d0d1461a24	9611	p1	p1
05f522d89642ebb3b29cb59d327313b5	11081	p2	p26
066340ac74d987ff7ce3824c5c34f437	9540	p1	p17
06fe7678e8d8977af84da5b8db3249bd	9473	p1	p9
0bc1ff1426838660ed94949996dc32de	11348	p1	p2
111ac40782985b21f15fb489b3515ba1	9464	p1	p20
118793d1e8a23b9a78c8975583476594	11126	p1	p28
156a6652b3e509f32bc60dccf3d3e1e6	9575	p1	p1
1765ddded88509e50623b606a52e4ccc	11070	p1	p5
19d2eacf3b97dd1de750beece5ee52cc	11246	p1	p8
205e9c50403ad6d215fd93628d65bf0d	11236	p2	p29
22dd240d3611dd527efb563b8ed5da2b	11257	p2	p32
24bacfc765bfa6199170a9e077c74d47	11188	p1	p10
2502391e243214c7ef2417168508c2b2	9589	p1	p3
25ba7e464fb26cb2a70f48cc0e7e895f	9607	p1	p52
263c13b8a958583167f034a88b9388b1	11337	p1	p7
26bdd377865c69c45ad5efc619144682	11123	p1	p1
2b078ea9c9e7e1d8de09a192060827b3	9569	p1	p1
2d0bc042aed5a4a136a3b0bd741b0862	9487	p1	p25
2f68556f4836cdfae7a80ac77be1286f	11358	p6	p26
324f9fbcfe5a849f440360c71e371112	9597	p1	p11
360d8122dbadcf7efe648231ded4e89b	11282	p1	p18
36443eb5b0495ae516120fbe51d9e33e	9588	p1	p1
3749b127b39b235c77856438ad453bff	11358	p1	p4
39ab0ba3b58c3490414f2a679e1999ed	9530	p2	p12
3a689aab194cee8f87cc44314c2f232d	9686	p1	p5
3ec9e94665e0c1e1cdd463fc1b1ade99	11144	p1	p19
42309d695b698768e27af497228a0336	11284	p1	p8
42382f3385f269edeb3c742adbc9c10d	11211	p1	p12
45410caad0084688033cd0cb305e1b51	9586	p1	p1
461da314881a7582e8a92d198cb26fa6	11268	p1	p11
46344480a0e92d1adc7fd61f9704729d	9592	p1	p84
47b685cba323cccc446bbb8453d85e39	9560	p1	p4
49394997a8df68294a1a595691848bdc	9734	p1	p10
4ab0db09be2c795e3e22bc34e9eb3883	9562	p1	p1
4c559a9ce9faed335b65b8b1c3272dc9	11296	p1	p26
518585a26098976fd2619a64e7da6474	11226	p1	p3
528c014e0ea40d93306c704ea70fc307	11316	p1	p28
535ea6c6e23d4d458924dd8006268ea8	9466	p1	p3
560509f85d32a9bb361ef6dcea05c3ec	9547	p1	p6
5b83332820509a53d60a9e04bb429bdc	11128	p1	p10
5b8d1c8ff2ae2f1db75d35244f941807	11195	p1	p5
603556143d0a3637f7462ce2d761801f	11233	p1	p12
611fbc83be68a70cd555130d52c6201c	11241	p1	p4
