file	genre	character_count	entities	entity_mentions	fillers	relations	relation_mentions	hoppers	event_mentions
020f7dc5023a3dcdff18cb12b621d2a8	multi_post	879	30	120	4	18	26	7	10
032eb582b0766826d823ff7e6e6d2fc3	multi_post	245	19	28	0	3	3	5	5
049601adc3607b661d32a6d0d1461a24	multi_post	742	26	78	0	12	15	1	2
05f522d89642ebb3b29cb59d327313b5	multi_post	376	20	39	0	4	6	1	1
066340ac74d987ff7ce3824c5c34f437	multi_post	637	27	58	8	7	9	21	26
06fe7678e8d8977af84da5b8db3249bd	multi_post	867	26	60	1	6	6	1	1
0bc1ff1426838660ed94949996dc32de	multi_post	709	26	62	2	16	20	3	3
111ac40782985b21f15fb489b3515ba1	multi_post	990	52	114	7	28	31	5	7
118793d1e8a23b9a78c8975583476594	multi_post	1912	69	134	11	19	21	14	16
156a6652b3e509f32bc60dccf3d3e1e6	multi_post	847	34	107	3	13	13	4	4
19d2eacf3b97dd1de750beece5ee52cc	multi_post	520	43	76	1	15	19	13	13
205e9c50403ad6d215fd93628d65bf0d	multi_post	907	61	133	1	13	14	6	6
22dd240d3611dd527efb563b8ed5da2b	multi_post	864	47	113	2	11	15	7	7
24bacfc765bfa6199170a9e077c74d47	multi_post	1052	40	121	21	31	40	7	17
2502391e243214c7ef2417168508c2b2	multi_post	842	26	86	1	7	13	10	15
25ba7e464fb26cb2a70f48cc0e7e895f	multi_post	906	44	128	1	14	22	11	11
263c13b8a958583167f034a88b9388b1	multi_post	1037	50	136	1	17	20	11	14
26bdd377865c69c45ad5efc619144682	multi_post	829	29	66	3	6	6	8	10
2b078ea9c9e7e1d8de09a192060827b3	multi_post	652	25	49	0	5	5	2	4
2d0bc042aed5a4a136a3b0bd741b0862	multi_post	1017	35	99	15	15	20	17	21
2f68556f4836cdfae7a80ac77be1286f	multi_post	756	35	88	1	11	15	4	5
324f9fbcfe5a849f440360c71e371112	multi_post	927	27	71	9	7	8	17	17
360d8122dbadcf7efe648231ded4e89b	multi_post	744	31	94	2	15	18	11	14
36443eb5b0495ae516120fbe51d9e33e	multi_post	520	39	70	3	14	15	10	11
3749b127b39b235c77856438ad453bff	multi_post	1178	36	118	6	17	21	8	13
39ab0ba3b58c3490414f2a679e1999ed	multi_post	838	21	82	1	10	13	1	1
3a689aab194cee8f87cc44314c2f232d	multi_post	787	39	108	0	12	21	2	2
3ec9e94665e0c1e1cdd463fc1b1ade99	multi_post	589	26	77	4	15	20	5	5
42309d695b698768e27af497228a0336	multi_post	472	27	86	1	9	11	10	10
42382f3385f269edeb3c742adbc9c10d	multi_post	614	27	63	0	1	1	1	1
45410caad0084688033cd0cb305e1b51	multi_post	618	42	90	2	17	17	13	13
461da314881a7582e8a92d198cb26fa6	multi_post	950	53	108	0	8	9	0	0
46344480a0e92d1adc7fd61f9704729d	multi_post	1643	74	184	6	27	29	7	7
47b685cba323cccc446bbb8453d85e39	multi_post	1045	40	146	14	34	55	5	11
49394997a8df68294a1a595691848bdc	multi_post	886	41	95	7	22	26	9	11
4ab0db09be2c795e3e22bc34e9eb3883	multi_post	758	19	38	10	8	8	7	10
4c559a9ce9faed335b65b8b1c3272dc9	multi_post	587	42	100	13	18	32	6	21
518585a26098976fd2619a64e7da6474	multi_post	966	35	124	10	9	9	16	32
528c014e0ea40d93306c704ea70fc307	multi_post	551	37	47	6	7	7	5	6
535ea6c6e23d4d458924dd8006268ea8	multi_post	945	21	67	1	3	3	9	10
5b83332820509a53d60a9e04bb429bdc	multi_post	967	48	86	8	20	25	19	28
5b8d1c8ff2ae2f1db75d35244f941807	multi_post	699	18	41	0	3	3	2	2
603556143d0a3637f7462ce2d761801f	multi_post	764	37	74	1	10	10	10	10
611fbc83be68a70cd555130d52c6201c	multi_post	189	13	29	0	4	4	4	5
61abd3f28e84e0db39ea8842bd270d92	multi_post	926	68	164	23	54	72	23	26
61be78fbc84b7b5b7477f3dff96893dc	multi_post	983	56	156	2	19	23	7	8
62d5a4d0ffb1fa9ce93b47383ca398fc	multi_post	275	22	31	0	6	6	0	0
688fda26b762dd5997a57f944242b302	multi_post	1023	66	127	4	11	13	9	10
6d3684f78f06945345258c21520fb364	multi_post	751	38	85	3	9	18	11	11
6f5d70deacca5e2c8ba2f538af97372c	multi_post	693	37	57	2	8	10	2	2
6f9aa7629020cb148796a8d123bcd175	multi_post	879	36	106	2	18	25	12	16
708f7ef00d96f2d67b4eda0b65dfe99e	multi_post	715	49	99	3	22	29	4	4
71b86b422aaaa787c03a40799a8fff64	multi_post	352	19	41	3	3	6	5	10
75f7808076b6b373930154e96b30c884	multi_post	870	32	98	2	9	13	3	7
774e73c2b221f77b79b5ac469f5aa0df	multi_post	432	37	56	0	11	11	2	3
777b4893fa1d87d17527917c3fd41503	multi_post	643	44	105	3	13	19	8	8
7831ee6dedea69ba8d801315136d20ae	multi_post	395	26	60	2	10	11	5	5
78c2d2e61faf9ee71c7366879011b454	multi_post	650	39	95	0	3	3	7	7
7986c04dd08f82c7433836b09156e5fb	multi_post	946	43	123	6	10	10	9	21
7a57c70f7379ebe230537922a5c5bb8d	multi_post	967	36	88	1	8	11	9	10
7abc438d61ea07d1db4817b5329725f7	multi_post	527	32	74	0	15	27	9	12
7d75ad05790d41ed3ef6b8f19d446dba	multi_post	1002	38	54	3	11	11	4	5
7e1a826be29fec85edb7a07954fc8036	multi_post	966	25	102	2	8	10	8	8
7e46661e3fbb52c8f1b8d44ff9ac2599	multi_post	733	16	35	0	2	2	2	2
7ef619845a995c11965c981bb1ad3976	multi_post	718	48	74	0	1	2	1	1
7f838683ab08237a89dc7274ead34ff1	multi_post	1014	50	107	2	24	30	17	19
836b51c735eb3b626790b54d3be18b59	multi_post	976	38	85	3	15	17	5	6
85e9fb7cfc5761e43bd8ca5c41f3f014	multi_post	866	30	83	0	5	7	3	7
864d786c7ac8d043a63bf4a9705dc8ad	multi_post	138	9	14	0	0	0	0	0
86d12ccef594e0dcc960390fff04e360	multi_post	377	19	50	0	5	8	1	5
86dfa5559291cb3cf092dd72fd337585	multi_post	814	51	124	7	26	27	10	12
894cf3d8d142a17e5cf233f555c5cb3a	multi_post	534	33	74	11	8	12	11	18
8b2dcbea62e306e894f8c16769a88986	multi_post	751	67	96	18	21	25	16	19
8b3ad1c3ca12f32c60e3973d72ec491f	multi_post	967	72	137	5	16	19	9	11
8bf9b607a0d55bc951f77d5870afe334	multi_post	908	40	100	3	15	19	14	17
8c8a7c7cc5e82caa27033e3cbc34fe5a	multi_post	990	37	104	2	18	18	2	2
8ee6648bd17c7b6c4b497bf54caad602	multi_post	344	15	41	0	3	3	2	2
91606054d86298f2026068efa2df0b72	multi_post	491	38	92	0	6	7	6	9
97d938dd834a2e4bd497ee103cded9bc	multi_post	502	40	60	0	4	4	4	4
9982e40c957b759b371f3d4b30cc6005	multi_post	913	29	136	0	12	27	5	5
