Athens Water Supply and Sewerage Company	ENG_NW_001436_20140731_F0010006P:9150-9189	m.012w3pq1	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:744-779	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:1063-1098	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:1910-1945	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:2453-2488	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:3946-3981	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:4358-4393	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:5284-5319	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:7087-7122	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:7917-7952	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:9615-9650	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:11226-11261	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:12660-12695	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:14535-14570	m.01c4wz	ORG
Project for the New American Century	ENG_NW_001398_20150710_F0010005D:16249-16284	m.01c4wz	ORG
the Chinese University of Hong Kong	ENG_NW_001438_20150710_F0010006T:813-847	m.01npqh	ORG
Coalition of the Radical Left party	ENG_NW_001436_20140731_F0010006P:8871-8905	m.0b12mv	ORG
president of the United States	ENG_NW_001410_20150615_F0010005V:4615-4644	m.060d2	ORG
president of the United States	ENG_NW_001417_20150622_F00100071:5554-5583	m.060d2	ORG
President Of The United States	ENG_DF_001499_20130609_F0010008Q:18794-18823	m.060d2	ORG
President Of The United States	ENG_DF_001499_20130609_F0010008Q:27231-27260	m.060d2	ORG
Federal Bureau of Investigation	ENG_NW_001001_20150719_F00100059:2933-2963	m.02_1m	ORG
Federal Bureau of Investigation	ENG_NW_001001_20150719_F00100059:3032-3062	m.02_1m	ORG
federal bureau of investigation	ENG_DF_000317_20150528_F001000D6:569-599	m.02_1m	ORG
Institute of Asian Research	ENG_NW_001438_20150710_F0010006T:711-737	m.0cq3g7	ORG
Institute of Asian Research	ENG_NW_001438_20150710_F0010006T:2412-2438	m.0cq3g7	ORG
