presidente de los Estados Unidos	SPA_NW_001375_20150622_F0010003M:5694-5725	m.060d2	ORG
Universidad de Nueva York	SPA_NW_001375_20150622_F0010003M:3592-3616	m.0bwfn	ORG
Agencia de Seguridad Nacional	SPA_NW_001465_20150602_F0010004P:464-492	m.05htt	ORG
Agencia de Seguridad Nacional	SPA_NW_001465_20150602_F0010004P:927-955	m.05htt	ORG
Agencia de Seguridad Nacional	SPA_NW_001461_20140602_F0010004O:822-850	m.05htt	ORG
Agencia de Seguridad Nacional	SPA_NW_001451_20150603_F00100044:519-547	m.05htt	ORG
Agencia de Seguridad Nacional	SPA_NW_001452_20150523_F00100046:632-660	m.05htt	ORG
Agencia de Seguridad Nacional	SPA_NW_001451_20150625_F00100045:675-703	m.05htt	ORG
Agencia de Seguridad Nacional	SPA_NW_001451_20150625_F00100045:3213-3241	m.05htt	ORG
Agencia de Seguridad Nacional	SPA_DF_001258_20140408_F001000C8:270-298	m.05htt	ORG
The New York Times	SPA_NW_001454_20150621_F0010004G:861-878	m.07k2d	ORG
campo base del Everest	SPA_NW_001446_20150425_F0010003R:2894-2915	m.0gzlc2	ORG
Ministerio de Relaciones Exteriores	SPA_NW_001113_20150629_F00100042:752-786	m.04f63rh	ORG
norte de África	SPA_NW_001465_20150626_F0010003Z:1253-1267	m.05g2v	LOC
departamento de seguridad	SPA_NW_001365_20141018_F0010002P:2922-2946	m.044s96	ORG
Banco Popular Chino	SPA_DF_000386_20150717_F0010007T:5736-5754	m.0d1lb	ORG
Corea del Norte	SPA_NW_001451_20150625_F00100045:5491-5505	m.05b7q	GPE
New York Times	SPA_NW_001367_20150529_F0010002R:731-744	m.07l1c	ORG
New York Times	SPA_NW_001367_20150529_F0010002R:1375-1388	m.07l1c	ORG
New York Times	SPA_NW_001078_20150602_F00100039:462-475	m.07l1c	ORG
New York Times	SPA_NW_001078_20150602_F00100039:731-744	m.07l1c	ORG
New York Times	SPA_DF_001258_20140123_F001000BK:1041-1054	m.07l1c	ORG
Carolina del Norte	SPA_NW_001454_20150719_F00100049:924-941	m.05fkf	GPE
JP Morgan Chase	SPA_NW_001078_20150528_F0010003A:4450-4464	m.01hlwv	ORG
The Baltimore Sun	SPA_NW_001360_20150501_F0010002F:2942-2958	m.01n0qv	ORG
The Baltimore Sun	SPA_NW_001362_20150527_F0010002I:1404-1420	m.01n0qv	ORG
Fondo Monetario Internacional	SPA_NW_001443_20150810_F0010003G:2059-2087	m.03y48	ORG
fondo Monetario Internacional	SPA_NW_001443_20150810_F0010003H:1659-1687	m.03y48	ORG
Fondo Monetario Internacional	SPA_NW_001442_20150420_F0010003E:780-808	m.03y48	ORG
Fondo Monetario Internacional	SPA_DF_001258_20150628_F001000CJ:9376-9404	m.03y48	ORG
Bolsa de Shenzhen	SPA_NW_001371_20150528_F0010002Z:1120-1136	m.01w_6l	ORG
estado de Borno	SPA_NW_001365_20150324_F0010002O:1191-1205	m.06xjkq	GPE
estado de Borno	SPA_NW_001366_20150622_F0010002Q:1672-1686	m.06xjkq	GPE
estado de Borno	SPA_NW_001364_20150328_F0010002N:1001-1015	m.06xjkq	GPE
Bolsa de Shanghái	SPA_NW_001371_20150528_F0010002Z:952-968	m.04xjz4	ORG
bolsa de Shanghái	SPA_DF_001258_20150727_F001000BA:1108-1124	m.04xjz4	ORG
Bolsa de Shanghái	SPA_DF_001258_20150727_F001000BA:1785-1801	m.04xjz4	ORG
bolsa de Shanghái	SPA_DF_001258_20150727_F001000BA:4507-4523	m.04xjz4	ORG
bolsa de Shanghái	SPA_NW_001371_20150727_F0010002Y:460-476	m.04xjz4	ORG
bolsa de Shanghái	SPA_DF_000386_20150708_F0010007Z:114-130	m.04xjz4	ORG
bolsa de Shanghái	SPA_DF_000386_20150708_F0010007Z:267-283	m.04xjz4	ORG
The Washington Post	SPA_DF_000386_20150710_F0010007V:3562-3580	m.0px38	ORG
The Washington Post	SPA_DF_000386_20150710_F0010007V:5179-5197	m.0px38	ORG
América del Norte	SPA_NW_001367_20150529_F00100035:2228-2244	m.059g4	LOC
Cámara de Representantes	SPA_NW_001456_20150707_F0010004B:849-872	m.0b3wk	ORG
Cámara de Representantes	SPA_NW_001452_20150523_F00100046:710-733	m.0b3wk	ORG
Cámara de Representantes	SPA_NW_001452_20150523_F00100046:1446-1469	m.0b3wk	ORG
Cámara de Representantes	SPA_NW_001465_20150602_F0010004P:1217-1240	m.0b3wk	ORG
Cámara de Representantes	SPA_NW_001460_20150602_F0010004L:1268-1291	m.0b3wk	ORG
Cámara de Representantes	SPA_NW_001460_20150602_F0010004L:1688-1711	m.0b3wk	ORG
Cámara de Representantes	SPA_NW_001451_20150603_F00100044:1557-1580	m.0b3wk	ORG
universidad de Georgetown	SPA_DF_000386_20150823_F0010007R:879-903	m.0pspl	ORG
universidad de Georgetown	SPA_DF_000386_20150823_F0010007R:9368-9392	m.0pspl	ORG
departamento de Estado	SPA_NW_001460_20150624_F0010004M:1444-1465	m.07vsl	ORG
Departamento de Estado	SPA_NW_001364_20150414_F0010002M:1380-1401	m.07vsl	ORG
Ministerio del Interior	SPA_NW_001450_20150626_F00100040:755-777	m.0dy22	ORG
Ministerio del Interior	SPA_NW_001450_20150626_F00100040:1020-1042	m.0dy22	ORG
Ministerio del Interior	SPA_NW_001444_20150729_F0010003Q:2013-2035	m.0dy22	ORG
Ministerio del Interior	SPA_NW_001368_20150108_F0010002T:2278-2300	m.0dy22	ORG
Médicos sin Fronteras	SPA_NW_001446_20150426_F0010003S:1495-1515	m.054p6	ORG
ministro del Interior	SPA_NW_001444_20150729_F0010003Q:641-661	m.0dy22	ORG
ministro del Interior	SPA_NW_001444_20150729_F0010003Q:1004-1024	m.0dy22	ORG
ministro del Interior	SPA_NW_001444_20150729_F0010003Q:1613-1633	m.0dy22	ORG
ministro del Interior	SPA_NW_001444_20150729_F0010003Q:2853-2873	m.0dy22	ORG
ministro del Interior	SPA_NW_001368_20150108_F0010002T:8345-8365	m.0dy22	ORG
Carolina del Sur	SPA_NW_001457_20150623_F0010004D:429-444	m.06yxd	GPE
Carolina del Sur	SPA_NW_001457_20150623_F0010004D:618-633	m.06yxd	GPE
Carolina del Sur	SPA_NW_001457_20150623_F0010004D:1007-1022	m.06yxd	GPE
Carolina del Sur	SPA_NW_001457_20150623_F0010004D:1491-1506	m.06yxd	GPE
Carolina del Sur	SPA_NW_001457_20150623_F0010004D:1939-1954	m.06yxd	GPE
Carolina del Sur	SPA_NW_001458_20150620_F0010004E:391-406	m.06yxd	GPE
Carolina del Sur	SPA_NW_001458_20150620_F0010004E:1680-1695	m.06yxd	GPE
Carolina del Sur	SPA_NW_001458_20150620_F0010004E:2134-2149	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150623_F00100047:244-259	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150623_F00100047:465-480	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150623_F00100047:976-991	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150623_F00100047:1362-1377	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150624_F00100048:286-301	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150624_F00100048:504-519	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150624_F00100048:785-800	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150624_F00100048:2051-2066	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150624_F00100048:2877-2892	m.06yxd	GPE
Carolina del Sur	SPA_NW_001453_20150624_F00100048:3830-3845	m.06yxd	GPE
Carolina del Sur	SPA_NW_001456_20150707_F0010004B:249-264	m.06yxd	GPE
Carolina del Sur	SPA_NW_001456_20150707_F0010004B:498-513	m.06yxd	GPE
Carolina del Sur	SPA_NW_001456_20150623_F0010004C:272-287	m.06yxd	GPE
Carolina del Sur	SPA_NW_001456_20150623_F0010004C:622-637	m.06yxd	GPE
Carolina del Sur	SPA_NW_001454_20150719_F00100049:299-314	m.06yxd	GPE
Carolina del Sur	SPA_NW_001454_20150719_F00100049:712-727	m.06yxd	GPE
Carolina del sur	SPA_NW_001454_20150719_F00100049:1909-1924	m.06yxd	GPE
Carolina del Sur	SPA_NW_001455_20150627_F0010004A:846-861	m.06yxd	GPE
Carolina del Sur	SPA_NW_001455_20150627_F0010004A:2334-2349	m.06yxd	GPE
Carolina del Sur	SPA_NW_001455_20150622_F0010004H:578-593	m.06yxd	GPE
Carolina del Sur	SPA_NW_001455_20150622_F0010004H:2110-2125	m.06yxd	GPE
Carolina del Sur	SPA_NW_001455_20150622_F0010004H:3099-3114	m.06yxd	GPE
Carolina del Sur	SPA_NW_001455_20150622_F0010004H:3266-3281	m.06yxd	GPE
Carolina del Sur	SPA_NW_001454_20150621_F0010004G:1083-1098	m.06yxd	GPE
Martin Luther King	SPA_NW_001362_20150527_F0010002I:3248-3265	m.051cc	PER
Martin Luther King	SPA_NW_001362_20150527_F0010002I:3498-3515	m.051cc	PER
Martin Luther King	SPA_NW_001362_20150527_F0010002I:4774-4791	m.051cc	PER
Comisión Electoral Independiente	SPA_NW_001364_20150328_F0010002N:1595-1626	m.02q2wn5	ORG
Banco Central Europeo	SPA_NW_001443_20150810_F0010003G:2026-2046	m.02l6_	ORG
Banco Central Europeo	SPA_NW_001443_20150810_F0010003H:1694-1714	m.02l6_	ORG
Banco Central Europeo	SPA_NW_001442_20150625_F0010003F:1373-1393	m.02l6_	ORG
Banco Central Europeo	SPA_NW_001442_20150625_F0010003F:3433-3453	m.02l6_	ORG
Ku Klux Klan	SPA_NW_001457_20150623_F0010004D:1813-1824	m.048qr	ORG
Wall Street Journal	SPA_DF_001258_20150109_F001000BM:2368-2386	m.017b3j	ORG
casa Blanca	SPA_DF_000404_20150618_F001000AZ:227-237	m.081sq	ORG
casa blanca	SPA_DF_000404_20150618_F001000AZ:1319-1329	m.081sq	ORG
casa Blanca	SPA_DF_000404_20150618_F001000AZ:1819-1829	m.081sq	ORG
Casa Blanca	SPA_NW_001451_20150603_F00100044:690-700	m.081sq	ORG
Casa Blanca	SPA_NW_001123_20150615_F0010003O:490-500	m.081sq	ORG
Casa Blanca	SPA_NW_001123_20150615_F0010003O:807-817	m.081sq	ORG
Casa Blanca	SPA_NW_001461_20150630_F0010004N:763-773	m.081sq	ORG
Casa Blanca	SPA_NW_001461_20150630_F0010004N:1667-1677	m.081sq	ORG
Casa Blanca	SPA_NW_001456_20150623_F0010004C:1715-1725	m.081sq	ORG
casa blanca	SPA_DF_001258_20150615_F001000B5:2186-2196	m.081sq	ORG
casa blanca	SPA_DF_001258_20150615_F001000B5:2400-2410	m.081sq	ORG
Casa Blanca	SPA_NW_001460_20150602_F0010004L:2871-2881	m.081sq	ORG
Casa Blanca	SPA_NW_001375_20150622_F0010003M:573-583	m.081sq	ORG
Casa Blanca	SPA_NW_001375_20150622_F0010003M:1095-1105	m.081sq	ORG
Casa Blanca	SPA_NW_001453_20150624_F00100048:2519-2529	m.081sq	ORG
Casa Blanca	SPA_NW_001455_20150622_F0010004H:3017-3027	m.081sq	ORG
Dylann Roof	SPA_NW_001458_20150620_F0010004E:454-464	NIL10002	PER
Dylann Roof	SPA_NW_001458_20150620_F0010004E:681-691	NIL10002	PER
Dylann Roof	SPA_NW_001454_20150621_F0010004G:502-512	NIL10002	PER
Dylann Roof	SPA_NW_001457_20150620_F0010004K:358-368	NIL10002	PER
Dylann Roof	SPA_NW_001457_20150620_F0010004K:548-558	NIL10002	PER
Dylann Roof	SPA_NW_001458_20150620_F0010004F:334-344	NIL10002	PER
Dylann Roof	SPA_NW_001458_20150620_F0010004F:547-557	NIL10002	PER
Dylann Roof	SPA_NW_001459_20150622_F0010004I:468-478	NIL10002	PER
Dylann Roof	SPA_NW_001455_20150622_F0010004H:1181-1191	NIL10002	PER
Dylann Roof	SPA_NW_001455_20150622_F0010004H:1777-1787	NIL10002	PER
Dylann Roof	SPA_NW_001454_20150719_F00100049:2287-2297	NIL10002	PER
Dylann Roof	SPA_NW_001453_20150623_F00100047:2741-2751	NIL10002	PER
Dylann Roof	SPA_NW_001457_20150623_F0010004D:716-726	NIL10002	PER
Dylann Roof	SPA_NW_001459_20150620_F0010004J:2002-2012	NIL10002	PER
Dylann Roof	SPA_NW_001459_20150620_F0010004J:4149-4159	NIL10002	PER
Los Ángeles	SPA_NW_001376_20150602_F00100037:1790-1800	m.030qb3t	GPE
los ángeles	SPA_DF_001251_20150626_F00100082:5214-5224	m.030qb3t	GPE
los ángeles	SPA_DF_001251_20150626_F00100082:8309-8319	m.030qb3t	GPE
ejército nigeriano	SPA_NW_001365_20141018_F0010002P:352-369	m.0cny569	ORG
ejército nigeriano	SPA_NW_001365_20141018_F0010002P:727-744	m.0cny569	ORG
ejército nigeriano	SPA_NW_001364_20150328_F0010002N:2810-2827	m.0cny569	ORG
Freddie Gray	SPA_NW_001361_20150428_F0010002H:533-544	NIL10000	PER
Freddie Gray	SPA_NW_001361_20150429_F0010002G:505-516	NIL10000	PER
Freddie Gray	SPA_NW_001362_20150430_F0010002J:466-477	NIL10000	PER
Freddie Gray	SPA_NW_001362_20150430_F0010002J:1322-1333	NIL10000	PER
Freddie Gray	SPA_NW_001102_20150602_F0010002D:591-602	NIL10000	PER
Freddie Gray	SPA_NW_001102_20150602_F0010002D:1117-1128	NIL10000	PER
Freddie Gray	SPA_NW_001102_20150602_F0010002D:2972-2983	NIL10000	PER
Freddie Gray	SPA_DF_000386_20150428_F0010007O:2027-2038	NIL10000	PER
Freddie Gray	SPA_DF_000386_20150428_F0010007O:2244-2255	NIL10000	PER
Freddie Gray	SPA_NW_001362_20150527_F0010002I:718-729	NIL10000	PER
Freddie Gray	SPA_NW_001362_20150527_F0010002I:3826-3837	NIL10000	PER
Freddie Gray	SPA_NW_001360_20150501_F0010002F:648-659	NIL10000	PER
Boko Haram	SPA_NW_001364_20150414_F0010002M:257-266	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150414_F0010002M:539-548	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150414_F0010002M:925-934	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150414_F0010002M:1270-1279	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150414_F0010002M:1706-1715	m.06zrg5s	ORG
Boko Haram	SPA_NW_001364_20150414_F0010002M:1959-1968	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20150324_F0010002O:289-298	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20150324_F0010002O:595-604	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20150324_F0010002O:1504-1513	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20150324_F0010002O:1754-1763	m.06zrg5s	ORG
Boko Haram	SPA_NW_001363_20150801_F0010002L:322-331	m.06zrg5s	ORG
Boko Haram	SPA_NW_001363_20150801_F0010002L:479-488	m.06zrg5s	ORG
Boko Haram	SPA_NW_001363_20150801_F0010002L:1358-1367	m.06zrg5s	ORG
Boko Haram	SPA_NW_001363_20150804_F0010002K:336-345	m.06zrg5s	ORG
Boko Haram	SPA_NW_001363_20150804_F0010002K:581-590	m.06zrg5s	ORG
Boko Haram	SPA_NW_001363_20150804_F0010002K:888-897	m.06zrg5s	ORG
Boko Haram	SPA_NW_001363_20150804_F0010002K:1170-1179	m.06zrg5s	ORG
Boko Haram	SPA_NW_001366_20150622_F0010002Q:774-783	m.06zrg5s	ORG
Boko Haram	SPA_NW_001366_20150622_F0010002Q:1082-1091	m.06zrg5s	ORG
Boko Haram	SPA_NW_001366_20150622_F0010002Q:1458-1467	m.06zrg5s	ORG
Boko Haram	SPA_NW_001365_20141018_F0010002P:265-274	m.06zrg5s	ORG
